Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Panama;PAN;1980;3,535670042;88;5,9;4,86528;6,893703;1956989;North America;88,0717392;;;
Panama;PAN;2000;4,759689808;98,7;8,5;2,83792;9,696069;3001738;North America;91,89962006;;;
Paraguay;PRY;2010;2,770720005;92,4;7,7;2,61766;8,195255;5768618;South America;93,87091827;;;
Peru;PER;2005;2,839030027;100;8,7;2,64957;9,778319;28147260;South America;87,90866852;;;
Philippines;PHL;1980;1,717730045;94;5,39;7,94045;5,913224;48419544;Asia;83,31723022;;;
Philippines;PHL;2000;3,164400101;100;7,6;3,75891;8,20532;77958224;Asia;92,60005951;;;
South Africa;ZAF;2010;5,721739769;98,5;10;5,3098;10,27425;51784928;Africa;92,87731934;;;
Spain;ESP;2005;4,144320011;100;8,9;0,45517;11,06696;43685372;Europe;97,75068665;;;
Spain;ESP;2010;4,856080055;100;9,4;0,38327998;11,26946;46572776;Europe;97,74890137;;;
Sri Lanka;LKA;2010;1,717740059;98,3;10,8;1,14176;11,14827;20668556;Asia;91,18135834;;;
Sudan;SDN;2000;1,012179971;43,5;2,4;10,57021;2,5412;26298778;Africa;61,34587097;;;
Thailand;THA;1980;2,5745399;90,1;2,67;6,09061;3,394992;45737756;Asia;87,98175812;;;
Thailand;THA;2000;5,25345993;94,5;6,1;2,20359;6,534282;63066604;Asia;92,64653778;;;
Thailand;THA;2005;3,93859005;89;7;1,7202499;7,930446;65821360;Asia;93,50646973;;;
Thailand;THA;2010;3,508440018;88,1;7,7;1,36698;9,449305;68270488;Asia;96,4309082;;;
Togo;TGO;2000;3,920900106;82,5;4;12,0362;3,42;5008043;Africa;53,17760086;;;
Trinidad and Tobago;TTO;1980;3,768079996;88;6,98;3,93051;7,5136;1127853;North America;94,97032166;;;
