Entity;Code;Year;Government expenditure on education, total (% of GDP);Primary adjusted enrolment ratio (Lee-Lee (2016));Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018));Child mortality rate - Sex: all - Age: 0-4 - Variant: estimates;Mean years of schooling, women (in reproductive age 15 to 49) (Our World In Data (2017));Population (historical estimates);Continent;Literacy rate, adult total (% of people ages 15 and above);;;
Mali;MLI;1985;;15;0,54;26,406979;0,4842297;8187658;Africa;;;;
Mali;MLI;1990;;19;0,72;23,26306;0,6195712;8945030;Africa;;;;
Mali;MLI;1995;;24,8;0,9;21,34117;0,7568506;9921096;Africa;;;;
Malta;MLT;1950;;100;3,09;8,66459;3,004161;291881;Europe;;;;
Malta;MLT;1955;;100;3,39;5,91042;3,600739;323606;Europe;;;;
Malta;MLT;1960;;76;3,9;4,59274;4,213264;337632;Europe;;;;
Malta;MLT;1965;;79;4,52;3,96816;4,735267;326409;Europe;;;;
Malta;MLT;1970;;88;5,26;4,1779203;5,671582;315425;Europe;;;;
Malta;MLT;1980;;87;6,38;2,33178;7,293442;333593;Europe;;;;
Malta;MLT;1995;;100;7,4;1,46588;10,99308;381860;Europe;87,86869812;;;
Malta;MLT;2000;;94,1;8,1;1,0861;11,25344;399212;Europe;;;;
Malta;MLT;2005;;94,5;9,8;0,76299;11,26292;410217;Europe;92,36309052;;;
Mauritius;MUS;1950;;75,5;2,36;11,59881;1,931675;525445;Africa;;;;
Mauritius;MUS;1955;;91,9;2,49;11,93427;2,242764;596869;Africa;;;;
Mauritius;MUS;1960;;76,7;2,66;10,47868;2,680691;676690;Africa;;;;
Mauritius;MUS;1965;;79;3,3;8,46075;3,228081;758632;Africa;;;;
Mauritius;MUS;1970;;72,8;3,71;7,8245;3,880606;830125;Africa;;;;
Mauritius;MUS;1975;;82;4,11;6,3207197;4,286214;888293;Africa;;;;
Mauritius;MUS;1980;;93;4,44;4,0948896;4,891041;954876;Africa;;;;
Mauritius;MUS;1995;;98,4;6,3;2,22535;6,96351;1160218;Africa;;;;
Mexico;MEX;1950;;62,6;2,17;24,207531;1,958015;27600140;North America;;;;
Mexico;MEX;1955;;73,1;2,18;19,54458;2,112002;31452140;North America;;;;
Mexico;MEX;1960;;58,3;2,33;15,536011;2,273515;36268048;North America;;;;
Mexico;MEX;1965;;67;2,54;12,77158;2,628199;42737996;North America;;;;
Mexico;MEX;1970;;81;2,89;10,66873;3,146349;50289304;North America;;;;
Mexico;MEX;1975;;87,6;3,33;8,81734;3,682274;58691880;North America;;;;
Mexico;MEX;1980;;99,3;3,92;7,15743;4,459238;67705184;North America;82,98924255;;;
Mexico;MEX;1985;;98;4,8;5,708;5,4172;74872008;North America;;;;
Morocco;MAR;1950;;16;0,24;28,432379;0,2312605;8946213;Africa;;;;
Morocco;MAR;1955;;24,4;0,3;26,5979;0,2546399;10242171;Africa;;;;
Morocco;MAR;1960;;30,5;0,34;24,62303;0,3170954;11769782;Africa;;;;
Morocco;MAR;1965;;37;0,47;21,62241;0,4163688;13381884;Africa;;;;
Morocco;MAR;1970;;40;0,57;18,97633;0,5744877;15274357;Africa;;;;
Morocco;MAR;2000;;80,6;3,4;5,19382;3,260422;28554420;Africa;;;;
Morocco;MAR;2005;;91,6;3,9;4,12174;3,922621;30431898;Africa;;;;
Morocco;MAR;2010;;100;4,2;3,09632;4,79899;32464866;Africa;;;;
Mozambique;MOZ;1950;;16,3;0,2;32,94069;0,3405954;5920221;Africa;;;;
Mozambique;MOZ;1955;;24,6;0,4;30,58981;0,3668355;6318912;Africa;;;;
Mozambique;MOZ;1960;;36,3;0,58;28,202631;0,3994251;6788377;Africa;;;;
Mozambique;MOZ;1965;;28;0,75;27,375721;0,4399693;7524155;Africa;;;;
Mozambique;MOZ;1970;;31,2;0,88;27,40774;0,4524551;8411678;Africa;;;;
Mozambique;MOZ;1975;;49,8;0,83;26,93778;0,4301129;9703732;Africa;;;;
Mozambique;MOZ;1980;;36;0,73;26,784008;0,5148315;11413590;Africa;26,99770927;;;
Mozambique;MOZ;1985;;49;0,83;27,96586;0,6093504;12680070;Africa;;;;
Mozambique;MOZ;1990;;44;0,83;24,49241;0,5814559;13303461;Africa;;;;
Mozambique;MOZ;1995;;43,8;1,5;21,93578;0,6049808;15594829;Africa;;;;
Mozambique;MOZ;2000;;56,6;2,2;17,09471;0,7280164;17768510;Africa;;;;
Myanmar;MMR;1950;;19,9;1,1;35,01306;0,8499569;17731816;Asia;;;;
Myanmar;MMR;1955;;54,6;1,23;28,798801;0,9098767;19522788;Asia;;;;
Myanmar;MMR;1960;;38,6;1,12;24,87319;0,925037;21720702;Asia;;;;
Myanmar;MMR;1965;;49;1,08;20,883389;1,026481;24286880;Asia;;;;
Myanmar;MMR;1970;;63;1,12;17,52808;1,142403;27284118;Asia;;;;
Myanmar;MMR;1980;;72,8;1,68;14,14314;1,930737;33465782;Asia;;;;
Myanmar;MMR;1985;;79,2;2,26;12,80538;2,560838;36881024;Asia;;;;
Myanmar;MMR;1990;;84;2,43;11,57361;3,02441;40099556;Asia;;;;
Myanmar;MMR;2000;;97,5;3,1;8,973021;4,161698;45538340;Asia;89,9417572;;;
Myanmar;MMR;2005;;100;3,5;7,73164;4,779171;47724472;Asia;;;;
Nepal;NPL;1950;;3,5;0,05;33,91603;0,0186168;8398952;Asia;;;;
Nepal;NPL;1955;;4,7;0,07;33,54912;0,0201043;9284902;Asia;;;;
Nepal;NPL;1960;;7,1;0,08;32,566322;0,0251311;10167941;Asia;;;;
Nepal;NPL;1965;;14,2;0,16;29,89353;0,0610223;11232952;Asia;;;;
Nepal;NPL;1970;;18,4;0,25;26,65532;0,1153389;12501288;Asia;;;;
Nepal;NPL;1975;;36,2;0,44;23,82875;0,166656;13925542;Asia;;;;
Nepal;NPL;1980;;58,8;0,63;20,817371;0,2482016;15600443;Asia;;;;
Nepal;NPL;1985;;56;1,24;17,49274;0,7448311;17540576;Asia;;;;
Nepal;NPL;1990;;70,2;2,02;13,925611;1,329406;19616528;Asia;;;;
Nepal;NPL;1995;;86,9;2,2;10,610411;1,573462;22305572;Asia;;;;
Netherlands;NLD;1950;;88,6;6,03;3,26716;6,088576;10093555;Europe;;;;
Netherlands;NLD;1955;;88;6,17;2,6528602;6,147491;10767911;Europe;;;;
Netherlands;NLD;1960;;95,7;6,22;2,20099;6,250713;11493124;Europe;;;;
Netherlands;NLD;1965;;94,8;7,04;1,78787;7,49543;12275797;Europe;;;;
New Zealand;NZL;1950;;95,4;8,95;3,46238;9,619761;1911611;Oceania;;;;
New Zealand;NZL;1955;;94,4;9,3;3,0971901;9,916473;2140979;Oceania;;;;
New Zealand;NZL;1960;;77;9,57;2,76228;10,40365;2381191;Oceania;;;;
New Zealand;NZL;1965;;78;9,88;2,3263001;10,46153;2638319;Oceania;;;;
New Zealand;NZL;1970;;100;10,69;2,0469801;11,49147;2824068;Oceania;;;;
New Zealand;NZL;1990;;100;11,54;1,06915;11,65846;3397388;Oceania;;;;
New Zealand;NZL;2000;;96;11,6;0,7655;12,67723;3855266;Oceania;;;;
Nicaragua;NIC;1950;;40,6;1,53;26,52074;1,486871;1330447;North America;;;;
Nicaragua;NIC;1955;;52,2;1,68;23,88956;1,551104;1539557;North America;;;;
Nicaragua;NIC;1960;;62,2;1,93;21,39865;1,622682;1789695;North America;;;;
Nicaragua;NIC;1965;;65;2,25;18,57456;1,73112;2084104;North America;;;;
Nicaragua;NIC;1975;;65;2,88;14,39265;2,05503;2857464;North America;;;;
Nicaragua;NIC;1985;;76;3,63;10,419519;2,881113;3763036;North America;;;;
Nicaragua;NIC;1990;;76;4,09;7,51371;4,030111;4227824;North America;;;;
Nicaragua;NIC;1995;;91,3;4,6;5,16652;4,929135;4721932;North America;;;;
Nicaragua;NIC;2005;;100;5,5;2,98556;6,677565;5454680;North America;78,00298309;;;
Niger;NER;1950;;1,3;0,31;32,18654;0,0732137;2569201;Africa;;;;
Niger;NER;1955;;2,6;0,34;32,2677;0,0744182;3018553;Africa;;;;
Niger;NER;1960;;4,2;0,39;32,1703;0,0774269;3497438;Africa;;;;
Niger;NER;1965;;9,4;0,4;32,102978;0,085606;4053531;Africa;;;;
Niger;NER;1970;;11,9;0,41;33,41751;0,116396;4669707;Africa;;;;
Niger;NER;1975;;17;0,43;34,457573;0,1575044;5339497;Africa;;;;
Niger;NER;1980;;21;0,46;32,59077;0,2281941;6173179;Africa;;;;
Niger;NER;1985;;27;0,55;33,96765;0,3359289;7187622;Africa;;;;
Niger;NER;2005;;47,3;1,3;17,14435;0,9673737;13855225;Africa;28,6724205;;;
Norway;NOR;1950;;100;7,54;3,4071999;7,454966;3281428;Europe;;;;
Norway;NOR;1955;;100;7,48;2,57921;7,412232;3429096;Europe;;;;
Norway;NOR;1960;;87,7;7,47;2,30553;7,452394;3581521;Europe;;;;
Norway;NOR;1965;;100;7,84;2,00487;7,948747;3723510;Europe;;;;
Norway;NOR;1970;;89;8,27;1,55371;8,416819;3875550;Europe;;;;
Pakistan;PAK;1950;;21,8;0,85;37,90878;0,3442872;37696264;Asia;;;;
Pakistan;PAK;1955;;27,2;0,86;30,58491;0,3524704;41023128;Asia;;;;
Pakistan;PAK;1960;;22;0,86;25,19837;0,4187092;45954228;Asia;;;;
Pakistan;PAK;1965;;33;1,11;21,46032;0,5553071;51841628;Asia;;;;
Pakistan;PAK;1970;;33;1,31;19,05139;0,7354591;59290872;Asia;;;;
Panama;PAN;1950;;72;3,59;13,377699;3,929613;861090;North America;;;;
Panama;PAN;1955;;78,6;3,83;11,97437;4,396496;980011;North America;;;;
Panama;PAN;1960;;81;4,26;10,37893;4,834687;1126996;North America;;;;
Panama;PAN;1965;;85;4,38;8,948339;5,170223;1310561;North America;;;;
Panama;PAN;1990;;92;7,26;3,5082803;8,347256;2449966;North America;88,77986145;;;
Panama;PAN;2005;;99,1;9;2,4657302;10,08465;3305875;North America;;;;
Panama;PAN;2010;;96,4;9,3;2,16225;10,28487;3623622;North America;94,09411621;;;
Paraguay;PRY;1950;;66,4;2,55;10,23882;2,510319;1504818;South America;;;;
Paraguay;PRY;1955;;82;2,82;10,00974;2,719211;1685755;South America;;;;
Paraguay;PRY;1960;;79,7;3,11;9,12963;3,051206;1894835;South America;;;;
Paraguay;PRY;1965;;83;3,37;8,27467;3,488266;2143163;South America;;;;
Paraguay;PRY;1975;;85;4,09;7,28737;4,568724;2714669;South America;;;;
Paraguay;PRY;1980;;87;4,64;6,4914904;5,131485;3078914;South America;;;;
Paraguay;PRY;1995;;99,2;6,1;3,83605;6,43929;4603924;South America;;;;
Paraguay;PRY;2005;;100;7,3;3,00437;8,001581;5476881;South America;;;;
Peru;PER;1950;;68,8;2,46;27,3072;2,306978;7678967;South America;;;;
Peru;PER;1955;;66,2;2,7;25,70968;2,485009;8825900;South America;;;;
Peru;PER;1960;;54,5;2,91;22,862;2,685113;10172210;South America;;;;
Peru;PER;1965;;65;3,25;20,10312;3,122778;11781584;South America;;;;
Peru;PER;1970;;77;3,67;19,89561;3,732968;13562372;South America;;;;
Peru;PER;1975;;83,3;4,45;14,72549;4,632357;15441500;South America;;;;
Peru;PER;1980;;86;5,27;12,76455;5,443988;17492406;South America;;;;
Peru;PER;1985;;97;5,83;10,49429;6,188174;19746614;South America;;;;
Peru;PER;1990;;100;6,52;8,12933;6,952021;22109102;South America;;;;
Peru;PER;1995;;91;7,3;5,7428;7,678362;24449060;South America;;;;
Philippines;PHL;1950;;100;1,88;14,92518;2,129531;18469880;Asia;;;;
Philippines;PHL;1955;;100;2,73;12,46918;3,066246;23027910;Asia;;;;
Philippines;PHL;1960;;84,1;3,01;10,26764;3,135432;28486868;Asia;;;;
Philippines;PHL;1965;;100;3,49;9,07765;3,713806;32805534;Asia;;;;
Philippines;PHL;1970;;95,7;4,03;8,429171;4,583714;37435588;Asia;;;;
Philippines;PHL;1975;;95;4,6;8,3181;5,184751;42394428;Asia;;;;
Philippines;PHL;1985;;95;6,21;7,26266;6,532455;54812656;Asia;;;;
Philippines;PHL;1990;;100;6,59;5,67925;7,105006;61558900;Asia;93,57389832;;;
Poland;POL;1950;;100;5;12,388391;5,549426;24786240;Europe;;;;
Poland;POL;1955;;90,6;5,36;9,95376;5,867987;27099200;Europe;;;;
Poland;POL;1960;;92,2;5,64;6,16843;6,362026;29509902;Europe;;;;
Poland;POL;1965;;88;6,38;4,57903;7,155052;31224086;Europe;;;;
Poland;POL;1970;;95;6,94;4,22452;7,793793;32482946;Europe;;;;
Poland;POL;1975;;96;7,63;3,2623;8,36941;33899768;Europe;;;;
Poland;POL;1980;;98;7,75;2,85487;8,500125;35521432;Europe;;;;
Poland;POL;1985;;99;8,28;2,3859;9,068494;37179164;Europe;;;;
Poland;POL;1990;;97;8,96;2,15112;10,09329;38064252;Europe;;;;
Portugal;PRT;1950;;77,2;1,62;14,3998;1,889734;8416952;Europe;;;;
Portugal;PRT;1955;;92,7;1,8;12,95034;2,064317;8665454;Europe;;;;
Portugal;PRT;1960;;99;1,95;10,62928;2,342145;8882476;Europe;;;;
Portugal;PRT;1965;;77;2,21;8,24069;2,396798;8899092;Europe;;;;
Portugal;PRT;1970;;83;2,49;7,38396;2,942555;8683627;Europe;;;;
Reunion;REU;1950;;100;2,83;21,717619;2,969094;249310;Europe;;;;
Reunion;REU;1955;;100;2,74;14,95121;2,893474;301374;Europe;;;;
Reunion;REU;1960;;69,5;2,64;13,306829;2,915318;366001;Europe;;;;
Reunion;REU;1965;;78,2;2,28;10,20309;3,010835;427627;Europe;;;;
Reunion;REU;1970;;77,8;2,63;7,1221495;3,656966;473934;Europe;;;;
Reunion;REU;1975;;76,7;3,16;4,88286;4,499002;515594;Europe;;;;
Reunion;REU;1980;;78,8;3,92;3,1068;5,414347;551677;Europe;;;;
Reunion;REU;1985;;83;4,74;1,98325;6,306605;599312;Europe;;;;
Reunion;REU;1990;;86,5;5,48;1,5642201;7,235604;659000;Europe;;;;
Romania;ROU;1950;;78,8;3,95;9,31423;4,205824;16392973;Europe;;;;
Romania;ROU;1955;;64,7;4,11;9,48148;4,517072;17455292;Europe;;;;
Romania;ROU;1960;;83,1;4,69;7,72316;5,099003;18458012;Europe;;;;
Romania;ROU;1965;;86,5;5,07;5,98659;5,654862;19117072;Europe;;;;
Romania;ROU;1970;;95;6,05;5,84522;6,815989;19922620;Europe;;;;
Romania;ROU;1975;;90,7;7,04;4,63036;7,949347;21167270;Europe;;;;
Romania;ROU;1980;;86,5;7,72;4,15011;8,917088;22125226;Europe;;;;
Romania;ROU;1985;;83,1;8,41;3,7355201;9,828733;22525364;Europe;;;;
Romania;ROU;1990;;78;9,05;3,5972;10,24098;22836234;Europe;;;;
Romania;ROU;1995;;96;9,5;2,88661;10,90898;22533138;Europe;;;;
Russia;RUS;1950;;100;3,16;10,30194;4,048237;102580112;Europe;;;;
Russia;RUS;1955;;87,5;3,86;7,10053;4,537441;110971856;Europe;;;;
Russia;RUS;1960;;92,2;4,17;4,748;5,045399;119735104;Europe;;;;
Russia;RUS;1965;;97;4,77;4,34082;5,974637;126400608;Europe;;;;
Russia;RUS;1970;;100;5,26;4,41341;6,974752;130093008;Europe;;;;
Russia;RUS;1975;;96;5,9;4,52848;7,880199;133841848;Europe;;;;
Russia;RUS;1980;;100;6,75;4,61504;8,953316;138257424;Europe;;;;
Russia;RUS;1985;;100;7,76;3,61814;10,16419;142896384;Europe;;;;
Russia;RUS;1990;;86,1;8,91;2,6791701;11,1861;148005696;Europe;;;;
Russia;RUS;1995;;100;10;2,76462;11,70895;148557456;Europe;;;;
Russia;RUS;2010;;98,4;11,5;1,05468;12,16677;143242592;Europe;99,68427277;;;
Senegal;SEN;1950;;9,3;1,65;34,24963;1,169087;2496070;Africa;;;;
Senegal;SEN;1955;;14,7;1,82;31,336401;1,18396;2847264;Africa;;;;
Senegal;SEN;1960;;19,8;2,11;29,927372;1,226787;3273181;Africa;;;;
Senegal;SEN;1965;;29,3;2,09;30,123379;1,311303;3770879;Africa;;;;
Senegal;SEN;1970;;30;2,12;29,18012;1,44758;4367747;Africa;;;;
Senegal;SEN;1975;;30;2,14;25,54989;1,608339;5047927;Africa;;;;
Senegal;SEN;1980;;37;2,23;20,61422;1,655529;5703873;Africa;;;;
Senegal;SEN;1985;;44;2,3;17,338789;1,673872;6520707;Africa;;;;
Senegal;SEN;1990;;48;2,2;13,899099;1,681557;7536003;Africa;;;;
Senegal;SEN;1995;;54,6;2,1;13,93069;1,644421;8632684;Africa;;;;
Serbia;SRB;1950;;66,3;3,92;13,76412;3,539114;6017687;Europe;;;;
Serbia;SRB;1955;;75,3;4,46;11,73082;3,781938;6348550;Europe;;;;
Serbia;SRB;1960;;87;4,54;9,23683;4,362984;6579987;Europe;;;;
Serbia;SRB;1965;;84;4,9;7,99233;4,88042;6902986;Europe;;;;
Serbia;SRB;1970;;78;5,27;6,76848;5,653609;7193540;Europe;;;;
Serbia;SRB;1975;;79;5,93;5,3534403;6,591358;7479841;Europe;;;;
Serbia;SRB;1980;;80;6,72;4,43592;7,432386;7777013;Europe;;;;
Serbia;SRB;1985;;78;7,41;4,09575;8,388885;7912073;Europe;;;;
Serbia;SRB;1990;;76,4;7,95;3,0248199;8,644212;7987530;Europe;;;;
Serbia;SRB;1995;;70,6;8,8;2,08107;9,457192;7982463;Europe;;;;
Serbia;SRB;2000;;100;9,4;1,53035;9,761568;7935023;Europe;;;;
Serbia;SRB;2005;;100;10,2;0,9776;10,72095;7830944;Europe;;;;
Sierra Leone;SLE;1950;;8,3;0,41;45,586708;0,2919381;2000793;Africa;;;;
Sierra Leone;SLE;1955;;10,7;0,43;42,44247;0,2983519;2135649;Africa;;;;
Sierra Leone;SLE;1960;;19,5;0,46;39,33936;0,3154796;2301315;Africa;;;;
Sierra Leone;SLE;1965;;24,6;0,53;36,23363;0,3851574;2520585;Africa;;;;
Sierra Leone;SLE;1970;;28,9;0,58;33,20451;0,4753501;2778561;Africa;;;;
Sierra Leone;SLE;1975;;33,2;0,73;30,559711;0,6388416;3055919;Africa;;;;
Sierra Leone;SLE;1980;;38,2;0,96;28,39504;0,8401586;3367486;Africa;;;;
Sierra Leone;SLE;1985;;51,8;1,25;26,78822;1,102452;3749425;Africa;;;;
Sierra Leone;SLE;1990;;40,8;1,58;25,5019;1,468857;4325390;Africa;;;;
Sierra Leone;SLE;1995;;40,8;2;24,6186;1,795788;4324151;Africa;;;;
South Africa;ZAF;1950;;40,8;3,75;22,982761;4,355807;13043843;Africa;;;;
South Africa;ZAF;1955;;39,9;4,15;18,59977;4,51599;14594134;Africa;;;;
South Africa;ZAF;1960;;60,2;4,17;14,726649;4,514693;16520438;Africa;;;;
South Africa;ZAF;1965;;60,9;4,29;13,58695;4,557472;19187198;Africa;;;;
South Africa;ZAF;1970;;67;4,44;12,65255;4,680695;22368306;Africa;;;;
South Africa;ZAF;1975;;67,7;4,66;11,26336;4,830664;25777966;Africa;;;;
South Africa;ZAF;1980;;67,7;4,82;9,48889;4,982348;29463546;Africa;76,20049286;;;
South Africa;ZAF;1985;;68,4;4,78;7,42164;5,132833;33752964;Africa;;;;
South Africa;ZAF;1995;;79,2;8,2;6,15908;8,459848;43986088;Africa;;;;
South Korea;KOR;1950;;86,9;3,98;35,91618;3,720952;20104016;Asia;;;;
South Korea;KOR;1955;;88,5;4,36;17,0107;4,122314;22075012;Asia;;;;
South Korea;KOR;1960;;85,8;3,12;11,19567;3,238114;25817530;Asia;;;;
South Korea;KOR;1965;;92,2;4,26;8,70506;4,667228;29179406;Asia;;;;
South Korea;KOR;2000;;100;10,6;0,75765;12,20254;46788588;Asia;;;;
South Korea;KOR;2005;;100;11,4;0,55878;12,81456;47889576;Asia;;;;
South Korea;KOR;2010;;100;11,8;0,41300002;13,62439;48813036;Asia;;;;
Spain;ESP;1950;;63,5;3,47;10,07662;3,542528;28069696;Europe;;;;
Spain;ESP;1955;;78,7;3,45;7,13405;3,915229;29095376;Europe;;;;
Spain;ESP;1960;;81,3;3,72;5,30577;4,382171;30415594;Europe;;;;
Spain;ESP;1965;;85;4,08;4,16659;4,751948;32112016;Europe;;;;
Spain;ESP;1975;;100;5,13;2,1543899;6,243871;35760432;Europe;;;;
Spain;ESP;1980;;100;5,74;1,4481599;7,384262;37491664;Europe;;;;
Spain;ESP;1985;;98;6,13;1,07095;7,649549;38471924;Europe;;;;
Sri Lanka;LKA;1950;;75;2,94;13,29458;2,726779;7945979;Asia;;;;
Sri Lanka;LKA;1955;;72,5;3,18;12,17235;3,022574;8749630;Asia;;;;
Sri Lanka;LKA;1960;;67,4;3,47;9,37741;3,336321;9783874;Asia;;;;
Sri Lanka;LKA;1965;;66;3,7;8,0632105;3,768517;11035228;Asia;;;;
Sri Lanka;LKA;1970;;96,1;5,33;7,00951;5,904261;12388767;Asia;;;;
Sri Lanka;LKA;2000;;100;10;1,65035;11,22422;18776374;Asia;;;;
Sri Lanka;LKA;2005;;97,2;10,4;1,4215;11,35968;19673866;Asia;;;;
Sudan;SDN;1950;;14,1;0,23;20,891819;0,0810252;6191328;Africa;;;;
Sudan;SDN;1955;;14;0,29;19,203909;0,1096717;7193070;Africa;;;;
Sudan;SDN;1960;;24,5;0,38;18,42558;0,1513347;8326464;Africa;;;;
Sudan;SDN;1965;;28,4;0,47;17,38752;0,2194296;9712789;Africa;;;;
Sudan;SDN;1970;;37,2;0,59;17,339321;0,3127267;11305212;Africa;;;;
Sudan;SDN;1975;;46,5;0,7;15,240961;0,4760475;13497547;Africa;;;;
Sudan;SDN;1980;;50;0,9;14,688021;0,7374235;16673591;Africa;;;;
Sudan;SDN;1985;;50;1,09;19,44611;1,157876;19517200;Africa;;;;
Sudan;SDN;1990;;50;1,5;15,20265;1,630814;21090892;Africa;;;;
Sudan;SDN;1995;;52;2;13,76899;2,072459;23290602;Africa;;;;
Sudan;SDN;2010;;60,4;3,1;7,5768995;3,333889;33739932;Africa;;;;
Sweden;SWE;1950;;100;6,44;2,54805;7,060539;7014611;Europe;;;;
Sweden;SWE;1955;;100;6,71;2,159;7,376517;7264358;Europe;;;;
Sweden;SWE;1960;;94;7,2;1,9800301;7,933725;7492907;Europe;;;;
Sweden;SWE;1965;;93,4;7,57;1,5733;8,554937;7755758;Europe;;;;
Sweden;SWE;1970;;92,7;7,96;1,33813;8,984797;8027701;Europe;;;;
Sweden;SWE;1975;;100;9,02;1,00508;9,961556;8224408;Europe;;;;
Sweden;SWE;1985;;97,7;10,05;0,8045;11,21837;8389918;Europe;;;;
Switzerland;CHE;1950;;84;8,66;3,82136;8,656738;4692636;Europe;;;;
Switzerland;CHE;1955;;87,2;8,8;3,21167;8,804105;5002416;Europe;;;;
Switzerland;CHE;1960;;100;8,91;2,6221;8,960276;5328275;Europe;;;;
Switzerland;CHE;1965;;80,1;9,29;2,14717;9,412775;5857048;Europe;;;;
Switzerland;CHE;1970;;78,3;9,76;1,8447001;9,744977;6181231;Europe;;;;
Switzerland;CHE;1975;;84,7;10,34;1,3251799;10,26166;6338272;Europe;;;;
Syria;SYR;1950;;60;0,61;27,58291;0,3321468;3543542;Asia;;;;
Syria;SYR;1955;;55;0,74;22,69864;0,4164516;3989103;Asia;;;;
Syria;SYR;1960;;55,8;0,86;17,004;0,5565822;4610717;Asia;;;;
Syria;SYR;1965;;67;1,12;13,50334;0,711;5368454;Asia;;;;
Syria;SYR;1970;;70;1,36;10,4553;1,003353;6319206;Asia;;;;
Syria;SYR;1990;;99;3,97;3,6704102;3,574103;12409003;Asia;;;;
Syria;SYR;1995;;93,9;4,5;2,92301;4,146418;14313451;Asia;;;;
Syria;SYR;2000;;100;4,6;2,30275;4,616186;16307659;Asia;;;;
Syria;SYR;2005;;100;5,8;1,9705;5,84833;18583556;Asia;;;;
Syria;SYR;2010;;100;6,3;1,88746;6,618928;22337558;Asia;;;;
Taiwan;TWN;1950;;100;2,71;12,6566105;1,926731;7623139;Asia;;;;
Taiwan;TWN;1955;;100;3,06;8,979441;2,132886;9229468;Asia;;;;
Taiwan;TWN;1960;;94,1;3,44;6,1451697;2,343671;10983152;Asia;;;;
Taiwan;TWN;1965;;95,1;3,58;3,89472;2,857927;13070711;Asia;;;;
Taiwan;TWN;1970;;96;3,76;2,61312;3,644383;14957875;Asia;;;;
Taiwan;TWN;1975;;97;4,12;1,91959;4,725303;16551776;Asia;;;;
Taiwan;TWN;1980;;98;5,2;1,49956;6,245217;18100280;Asia;;;;
Taiwan;TWN;1985;;98;6,21;1,0683601;7,549162;19511876;Asia;;;;
Taiwan;TWN;1990;;98;7,17;0,83999;9,016558;20586176;Asia;;;;
Thailand;THA;1950;;100;1,34;20,617619;1,464885;20411638;Asia;;;;
Thailand;THA;1955;;100;1,71;17,37227;1,82494;23173968;Asia;;;;
Thailand;THA;1960;;90;2,07;14,64299;2,219793;26596590;Asia;;;;
Thailand;THA;1965;;71;1,89;12,20611;2,097654;30940276;Asia;;;;
Thailand;THA;1970;;75,6;1,87;9,8820505;2,34958;35791728;Asia;;;;
Thailand;THA;1985;;88,3;3,26;4,80342;4,130376;50594932;Asia;;;;
Thailand;THA;1990;;100;3,83;3,71252;5,012029;55228408;Asia;;;;
Togo;TGO;1950;;18,2;0,25;28,299149;0,1102334;1398532;Africa;;;;
Togo;TGO;1955;;22,5;0,3;27,39293;0,134326;1518835;Africa;;;;
Togo;TGO;1960;;32,8;0,35;26,25439;0,1784214;1651372;Africa;;;;
Togo;TGO;1965;;41,1;0,42;24,78247;0,2358968;1820401;Africa;;;;
Togo;TGO;1975;;72,5;1,02;20,31694;0,9307411;2509720;Africa;;;;
Togo;TGO;1980;;88,4;1,72;18,01461;1,557546;2838115;Africa;;;;
Togo;TGO;1985;;67;2,37;16,09295;2,017573;3336512;Africa;;;;
Togo;TGO;1990;;76;2,99;14,801981;2,567736;3875958;Africa;;;;
Togo;TGO;1995;;74,3;3,5;13,6875105;2,984071;4279573;Africa;;;;
Trinidad and Tobago;TTO;1950;;100;4,61;9,53769;5,006143;648619;North America;;;;
Trinidad and Tobago;TTO;1955;;100;5,01;8,07251;5,170794;742582;North America;;;;
Trinidad and Tobago;TTO;1960;;87;5,19;6,7607;5,485817;847067;North America;;;;
Trinidad and Tobago;TTO;1965;;96;5,49;5,76154;5,810347;928470;North America;;;;
Trinidad and Tobago;TTO;1970;;87;5,7;5,16291;6,265917;988902;North America;;;;
Trinidad and Tobago;TTO;1975;;87;6,37;4,59239;6,884458;1054023;North America;;;;
Trinidad and Tobago;TTO;2005;;93,8;10;2,58446;10,71241;1369078;North America;;;;
Trinidad and Tobago;TTO;2010;;99,3;10,7;2,24842;11,38195;1410297;North America;98,69999695;;;
Tunisia;TUN;1950;;21,9;0,48;30,02438;0,2977009;3606294;Africa;;;;
Tunisia;TUN;1955;;30,8;0,53;29,16929;0,3478049;3975549;Africa;;;;
Tunisia;TUN;1960;;50,2;0,64;26,96008;0,4179434;4195466;Africa;;;;
Tunisia;TUN;1965;;69,2;0,73;23,25732;0,7022926;4457284;Africa;;;;
Tunisia;TUN;1970;;76;1;17,98729;1,022784;5047403;Africa;;;;
Tunisia;TUN;1975;;75,9;1,31;13,3682;1,558969;5769080;Africa;;;;
Turkey;TUR;1950;;57,5;0,99;30,457418;0,6732746;20977698;Asia;;;;
Turkey;TUR;1955;;60,1;1,24;28,84347;0,898137;23821346;Asia;;;;
Turkey;TUR;1960;;54,3;1,49;25,63078;1,162881;27510982;Asia;;;;
Turkey;TUR;1965;;73,1;1,88;21,813091;1,351686;31374540;Asia;;;;
Turkey;TUR;1970;;79,7;2,02;18,71393;1,626163;35540988;Asia;;;;
Turkey;TUR;1975;;78,2;2,29;15,839819;2,154238;39673588;Asia;61,62768173;;;
